YouTube_Channel,Minimum_Age,ESRB_Category,Description,Inclusion_Criteria,Source,enriched_age,evidence_source,evidence_timestamp,evidence_details
Patry Jordan,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142,18.0,AdultPersonality,2025-07-04T15:17:01.685330+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": true, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 3, ""mature_themes_score"": 0, ""total_adult_content_score"": 1.5}"
Willyrex,13,T,General audience channel; standard YouTube content.,Spanish; High Views,https://support.google.com/youtubekids/answer/7124142,13.0,Default,2025-07-04T15:17:02.501405+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 1, ""mature_themes_score"": 0, ""total_adult_content_score"": 0.5}"
Little Angel,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Little_Angel,3.0,YouTube_madeForKids,2025-07-04T15:17:04.151521+00:00,"{""made_for_kids"": true, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": true, ""is_explicit_adult_content"": true, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": true, ""is_mature_themes_heavy"": false, ""mature_language_detected"": true, ""adult_keywords_detected"": true, ""gaming_mature_rating"": false, ""profanity_frequency"": 1, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 34, ""drama_score"": 0, ""adult_personality_score"": 3, ""mature_themes_score"": 1, ""total_adult_content_score"": 2.2}"
Nathy Peluso,13,T,General audience channel; standard YouTube content.,Spanish,https://support.google.com/youtubekids/answer/7124142,18.0,AdultPersonality,2025-07-04T15:17:05.799892+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": true, ""is_mature_themes_heavy"": false, ""mature_language_detected"": true, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 1, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 2, ""mature_themes_score"": 0, ""total_adult_content_score"": 1.0}"
KSI,18,AO,Channel includes mature language or themes; not appropriate for children.,English; Adult,https://en.wikipedia.org/wiki/KSI,18.0,ExplicitContent,2025-07-04T15:17:07.117915+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": true, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": true, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": true, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 7, ""mature_themes_score"": 0, ""total_adult_content_score"": 3.5}"
Ryan's World,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/Ryans_World,3.0,YouTube_madeForKids,2025-07-04T15:17:08.417858+00:00,"{""made_for_kids"": true, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": true, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 5, ""drama_score"": 0, ""adult_personality_score"": 1, ""mature_themes_score"": 0, ""total_adult_content_score"": 0.5}"
Onision,18,AO,Channel includes mature language or themes; not appropriate for children.,Adult,https://en.wikipedia.org/wiki/Onision,18.0,ExplicitContent,2025-07-04T15:17:10.110163+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": true, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": true, ""mature_language_detected"": false, ""adult_keywords_detected"": true, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 0, ""mature_themes_score"": 3, ""total_adult_content_score"": 2.0999999999999996}"
Tasty,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142,13.0,EducationalContent,2025-07-04T15:17:10.912654+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": true, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": false, ""mature_language_detected"": true, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 1, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 7, ""drama_score"": 1, ""adult_personality_score"": 0, ""mature_themes_score"": 0, ""total_adult_content_score"": 0.0}"
My Little Pony Official,3,E,Children-focused channel with educational or entertainment content.,Children,https://en.wikipedia.org/wiki/My_Little_Pony_Official,3.0,YouTube_madeForKids,2025-07-04T15:17:12.558851+00:00,"{""made_for_kids"": true, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": false, ""is_educational_content"": false, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 0, ""mature_themes_score"": 0, ""total_adult_content_score"": 0.0}"
Dream,13,T,General audience channel; standard YouTube content.,English,https://support.google.com/youtubekids/answer/7124142,4.0,kidSAFE,2025-07-04T15:17:14.222667+00:00,"{""made_for_kids"": false, ""yt_agerestricted"": false, ""video_board_max_age"": null, ""common_sense_age"": null, ""kidsafe"": true, ""is_educational_content"": false, ""is_explicit_adult_content"": false, ""is_drama_controversy_heavy"": false, ""is_mature_gaming_focused"": false, ""is_adult_personality_heavy"": false, ""is_mature_themes_heavy"": false, ""mature_language_detected"": false, ""adult_keywords_detected"": false, ""gaming_mature_rating"": false, ""profanity_frequency"": 0, ""adult_keyword_frequency"": 0, ""mature_game_count"": 0, ""educational_score"": 0, ""drama_score"": 0, ""adult_personality_score"": 0, ""mature_themes_score"": 0, ""total_adult_content_score"": 0.0}"
